id,name,category,old_type,total_change,gain_at_peak,drawdown,retrace,peak_pos,volatility,momentum,linearity,cluster
1,米,食物類,normal,8.18,8.18,0.0,0.0,1.0,1.82,2.14,0.742,0
2,糯米,食物類,normal,6.78,6.78,0.0,0.0,1.0,1.4,2.85,0.419,0
3,米粉、粄條及其他米類製品,食物類,hot,25.74,25.74,0.0,0.0,1.0,1.56,3.95,0.915,0
4,速食麵,食物類,normal,10.45,11.22,0.69,0.069,0.942,0.87,-0.27,0.963,0
5,麵條,食物類,normal,11.83,11.83,0.0,0.0,1.0,1.33,0.84,0.859,0
6,麵包,食物類,hot,37.51,37.51,0.0,0.0,1.0,1.06,2.98,0.964,0
7,蛋糕,食物類,hot,31.37,31.37,0.0,0.0,1.0,1.03,4.64,0.909,0
8,麥片(粉),食物類,hot,17.42,17.42,0.0,0.0,1.0,1.89,7.59,0.841,0
9,麵粉、調製麵粉,食物類,hot,19.85,20.47,0.51,0.03,0.958,1.29,0.27,0.946,0
10,其他穀類及其製品(芝麻、麵筋、水餃皮等),食物類,hot,17.34,17.34,0.0,0.0,1.0,0.76,2.38,0.987,0
11,豬肉,食物類,hot,45.98,45.98,0.0,0.0,1.0,1.8,6.59,0.881,2
12,豬內臟,食物類,normal,1.4,1.4,0.0,0.0,1.0,0.58,1.7,0.071,0
13,牛肉、牛內臟,食物類,hot,42.97,42.97,0.0,0.0,1.0,1.31,5.46,0.935,2
14,其他家畜(羊肉),食物類,hot,33.19,33.19,0.0,0.0,1.0,1.1,3.26,0.976,0
15,雞肉,食物類,hot,22.84,22.84,0.0,0.0,1.0,1.37,1.89,0.923,0
16,其他家禽(新鮮鴨肉、鵝肉等),食物類,hot,21.3,21.3,0.0,0.0,1.0,2.02,2.45,0.768,0
17,香腸,食物類,hot,28.21,28.21,0.0,0.0,1.0,1.32,5.41,0.899,0
18,貢丸,食物類,hot,32.53,32.53,0.0,0.0,1.0,1.52,5.93,0.9,2
19,其他肉類製品(火腿、臘肉、肉類罐頭等),食物類,hot,31.04,31.04,0.0,0.0,1.0,1.23,2.3,0.962,0
20,雞蛋,食物類,hot,20.44,45.02,16.95,0.546,0.75,9.55,9.46,0.474,2
21,其他蛋類(皮蛋、鹹鴨蛋等),食物類,hot,34.2,34.54,0.25,0.01,0.833,2.32,0.31,0.821,0
22,嘉臘魚、赤(魚宗),食物類,hot,28.05,28.05,0.0,0.0,1.0,3.14,0.87,0.873,0
23,鯧魚,食物類,hot,15.77,15.77,0.0,0.0,1.0,4.63,0.94,0.692,0
24,白帶魚,食物類,hot,24.45,24.45,0.0,0.0,1.0,1.94,3.78,0.977,0
25,土魠、馬加魚,食物類,hot,41.89,41.89,0.0,0.0,1.0,4.4,4.72,0.963,2
26,吳郭魚,食物類,hot,19.14,19.14,0.0,0.0,1.0,1.72,0.65,0.705,0
27,虱目魚,食物類,hot,26.46,26.46,0.0,0.0,1.0,4.85,8.01,0.586,2
28,石斑魚,食物類,normal,11.55,15.04,3.04,0.232,0.858,3.96,-1.64,0.69,0
29,秋刀魚,食物類,hot,108.52,122.62,6.33,0.115,0.925,5.8,-5.49,0.924,2
30,鮭魚,食物類,hot,39.25,46.85,5.18,0.162,0.767,5.86,-2.51,0.721,0
31,黃花魚,食物類,hot,45.32,45.32,0.0,0.0,1.0,4.85,17.18,0.331,2
32,鱈魚,食物類,hot,41.96,41.96,0.0,0.0,1.0,1.65,10.67,0.899,2
33,鱸魚,食物類,normal,14.72,17.67,2.5,0.167,0.858,2.01,-1.23,0.651,0
34,肉魚,食物類,hot,42.78,42.78,0.0,0.0,1.0,4.95,3.07,0.95,2
36,新鮮小卷,食物類,hot,56.98,56.98,0.0,0.0,1.0,1.75,6.21,0.994,2
37,烏賊,食物類,hot,40.35,40.35,0.0,0.0,1.0,1.76,3.31,0.977,2
38,蝦蟹類,食物類,hot,23.82,25.94,1.68,0.082,0.917,2.1,-0.91,0.965,0
39,蛤蜊,食物類,hot,82.38,82.8,0.23,0.005,0.958,5.73,2.75,0.632,2
40,蚵(牡犡),食物類,hot,31.61,33.8,1.64,0.065,0.933,4.63,0.94,0.921,0
41,其他魚類(紅目鰱、草魚、旗魚等),食物類,hot,35.59,35.98,0.29,0.011,0.875,2.13,-0.08,0.883,0
42,其他貝類及水產品(海參、蜆、海瓜子等),食物類,hot,46.23,46.23,0.0,0.0,1.0,1.32,7.13,0.956,2
43,小魚乾,食物類,hot,23.1,23.99,0.72,0.037,0.842,1.37,-0.15,0.887,0
44,魚貝罐頭,食物類,hot,16.42,16.42,0.0,0.0,1.0,1.49,2.68,0.863,0
45,魚漿製品,食物類,hot,31.64,31.64,0.0,0.0,1.0,0.78,2.96,0.961,0
46,其他加工水產品(鹹魚、魚鬆、魷魚乾等),食物類,hot,30.08,30.08,0.0,0.0,1.0,1.05,1.74,0.93,0
47,蘿蔔,食物類,seasonal,4.52,10.6,5.5,0.574,0.058,16.0,-4.31,0.148,3
48,胡蘿蔔,食物類,normal,13.3,24.96,9.33,0.467,0.058,15.85,2.43,0.128,3
49,其他根菜(甘薯、山藥等),食物類,seasonal,45.97,51.53,3.67,0.108,0.95,7.63,3.09,0.717,2
50,馬鈴薯,食物類,hot,19.37,35.9,12.16,0.46,0.742,6.42,-3.86,0.63,0
51,洋蔥,食物類,hot,17.78,27.79,7.83,0.36,0.683,6.6,-1.63,0.603,0
52,蔥,食物類,seasonal,50.62,64.0,8.15,0.209,0.933,44.0,6.34,0.579,1
53,青蒜,食物類,seasonal,47.14,49.41,1.52,0.046,0.925,30.66,1.67,0.666,1
54,蒜頭,食物類,hot,39.29,72.61,19.3,0.459,0.508,13.97,-3.1,0.209,1
55,竹筍,食物類,hot,39.27,39.27,0.0,0.0,1.0,7.49,5.52,0.536,2
56,芋,食物類,normal,11.3,16.5,4.46,0.315,0.883,7.39,-3.6,0.381,1
57,薑,食物類,seasonal,34.97,34.97,0.0,0.0,1.0,7.15,21.23,0.679,2
58,茭白筍,食物類,hot,37.19,37.44,0.18,0.006,0.942,5.35,1.63,0.897,0
59,蘆筍,食物類,hot,42.26,42.26,0.0,0.0,1.0,6.48,0.77,0.855,2
60,其他莖菜(大心菜、球莖甘藍、芽菜類等),食物類,normal,7.95,11.19,2.92,0.29,0.058,6.51,-1.42,0.279,3
61,甘藍菜(高麗菜),食物類,seasonal,8.13,24.67,13.27,0.671,0.867,32.96,-5.37,0.472,1
62,小白菜,食物類,seasonal,20.12,23.43,2.68,0.141,0.867,20.09,0.14,0.678,1
63,包心白菜,食物類,seasonal,-1.21,23.29,19.87,1.052,0.858,24.37,-11.3,0.29,1
64,青江白菜,食物類,seasonal,12.31,14.49,1.9,0.15,0.867,19.12,1.15,0.559,1
65,空心菜,食物類,seasonal,19.27,26.24,5.52,0.266,0.917,13.97,-3.4,0.63,1
66,芹菜,食物類,seasonal,54.74,55.08,0.22,0.006,0.883,31.84,2.54,0.658,1
67,菠菜,食物類,seasonal,22.39,31.12,6.66,0.281,0.883,37.6,-4.36,0.707,1
68,萵苣菜,食物類,seasonal,50.71,50.71,0.0,0.0,1.0,18.2,2.98,0.879,2
69,芥藍菜,食物類,seasonal,19.77,24.58,3.86,0.195,0.867,14.14,-1.59,0.689,1
70,莧菜,食物類,seasonal,28.45,39.65,8.02,0.282,0.917,11.73,-5.8,0.695,1
71,甘薯葉,食物類,seasonal,17.13,25.78,6.88,0.336,0.917,14.08,-4.38,0.593,1
72,韭菜(花),食物類,seasonal,52.95,52.95,0.0,0.0,1.0,9.59,7.49,0.845,2
73,其他葉菜(芥菜、茼蒿、油菜等),食物類,seasonal,11.4,18.79,6.22,0.393,0.867,12.81,-4.84,0.561,1
74,白花椰菜,食物類,seasonal,15.4,25.08,7.74,0.386,0.917,25.24,-6.65,0.578,1
75,大黃瓜,食物類,seasonal,25.82,25.82,0.0,0.0,1.0,18.91,6.36,0.66,2
76,小黃瓜,食物類,seasonal,32.21,32.21,0.0,0.0,1.0,19.72,6.59,0.642,2
77,絲瓜,食物類,seasonal,26.77,26.77,0.0,0.0,1.0,17.14,5.74,0.618,2
78,苦瓜,食物類,seasonal,23.8,49.9,17.41,0.523,0.908,22.79,-16.95,0.556,1
80,茄子,食物類,seasonal,29.09,50.08,13.98,0.419,0.925,20.28,-10.25,0.412,1
81,番茄,食物類,seasonal,28.81,48.36,13.18,0.404,0.883,31.21,-11.07,0.623,1
82,甜椒(含青椒),食物類,seasonal,33.18,40.45,5.17,0.18,0.933,24.19,-4.12,0.641,1
83,豌豆,食物類,hot,25.33,29.57,3.28,0.144,0.667,10.69,4.26,0.709,2
84,敏豆,食物類,seasonal,40.98,44.11,2.17,0.071,0.875,19.69,0.76,0.859,1
85,綠花椰菜,食物類,normal,8.69,31.95,17.63,0.728,0.658,12.64,-0.44,0.292,1
86,玉米,食物類,seasonal,11.75,21.11,7.73,0.443,0.925,16.29,-5.83,0.583,1
87,菇類,食物類,normal,12.72,13.11,0.34,0.03,0.942,4.76,0.22,0.67,0
88,其他蔬菜(菜豆、辣椒、冬瓜、扁蒲等),食物類,seasonal,36.35,40.32,2.83,0.099,0.917,11.58,-1.24,0.744,0
89,乾香菇,食物類,hot,15.25,16.29,0.9,0.064,0.758,1.32,0.8,0.826,0
90,海帶、紫菜,食物類,hot,25.52,25.52,0.0,0.0,1.0,1.49,2.76,0.863,0
91,蔬菜罐頭,食物類,normal,14.13,14.13,0.0,0.0,1.0,1.95,1.42,0.854,0
92,乾豆(花生、紅豆、綠豆等),食物類,hot,31.9,31.9,0.0,0.0,1.0,2.28,3.29,0.786,0
93,豆類製品,食物類,hot,35.93,35.93,0.0,0.0,0.867,1.48,0.27,0.921,0
94,其他加工蔬菜(熟筍、鹹菜、蘿蔔乾等),食物類,hot,26.5,26.5,0.0,0.0,1.0,1.1,1.67,0.897,0
96,釋迦,食物類,hot,36.16,42.36,4.35,0.146,0.258,7.91,7.12,0.164,3
97,小番茄,食物類,seasonal,17.33,30.39,10.02,0.43,0.892,19.22,-9.8,0.431,1
98,火龍果,食物類,seasonal,9.4,21.75,10.14,0.568,0.908,14.69,-9.6,0.025,1
100,香蕉,食物類,seasonal,-15.4,33.01,36.39,1.466,0.917,29.71,-35.67,0.038,1
101,鳳梨,食物類,seasonal,32.59,37.55,3.61,0.132,0.975,9.13,2.71,0.401,2
104,奇異果,食物類,hot,18.06,21.32,2.68,0.153,0.817,4.86,1.43,0.744,0
105,木瓜,食物類,seasonal,53.44,66.39,7.78,0.195,0.942,17.41,-1.48,0.302,1
107,梨子,食物類,hot,26.92,31.05,3.15,0.133,0.925,4.9,-1.24,0.387,0
108,番石榴,食物類,seasonal,30.37,53.39,15.0,0.431,0.958,21.37,-12.5,0.417,1
109,蓮霧,食物類,seasonal,66.78,69.15,1.4,0.034,0.975,8.1,15.3,0.806,2
111,葡萄,食物類,normal,13.81,22.73,7.27,0.392,0.917,6.08,-6.75,0.32,1
112,西瓜,食物類,seasonal,35.48,63.36,17.07,0.44,0.925,11.49,-13.83,0.561,1
113,香瓜,食物類,hot,41.33,44.65,2.3,0.075,0.95,5.81,0.79,0.799,2
114,哈蜜瓜,食物類,seasonal,31.29,40.13,6.31,0.22,0.933,11.43,-4.07,0.749,1
115,蘋果,食物類,normal,14.67,16.09,1.22,0.088,0.75,3.92,-0.01,0.619,0
118,其他水果(榴槤、百香果、椰子、柚子、酪梨等),食物類,hot,59.07,59.07,0.0,0.0,1.0,7.68,13.98,0.678,2
119,蜜餞,食物類,hot,35.0,35.0,0.0,0.0,1.0,1.58,0.97,0.936,0
120,其他加工水果(葡萄乾、水果罐頭等),食物類,hot,32.44,32.44,0.0,0.0,1.0,1.45,6.18,0.955,2
121,鮮奶,食物類,hot,20.5,24.43,3.16,0.161,0.717,2.13,-0.96,0.76,0
122,奶粉,食物類,normal,7.96,9.24,1.17,0.138,0.9,0.66,-1.17,0.903,0
123,發酵乳及優格,食物類,normal,11.72,11.72,0.0,0.0,1.0,1.16,3.15,0.953,0
124,其他乳製品(調味乳、鮮奶油、乾酪等),食物類,normal,11.59,11.59,0.0,0.0,1.0,0.94,0.95,0.945,0
125,麻油、香油,食物類,hot,17.99,17.99,0.0,0.0,1.0,1.11,0.33,0.958,0
126,沙拉油、調理油,食物類,hot,28.16,29.64,1.14,0.05,0.908,2.85,-1.05,0.86,0
127,其他食用油(橄欖油、葵花籽油、葡萄籽油等),食物類,hot,32.52,32.86,0.26,0.011,0.95,1.98,-0.02,0.864,0
128,鹽、甘味調味料,食物類,normal,13.02,14.06,0.91,0.074,0.925,2.13,0.39,0.747,0
129,醬油,食物類,hot,16.38,16.79,0.35,0.025,0.958,1.7,0.65,0.92,0
130,糖,食物類,hot,20.9,20.9,0.0,0.0,1.0,1.23,0.31,0.871,0
131,蜂蜜、抹醬(果醬、堅果醬、巧克力醬),食物類,normal,12.38,12.38,0.0,0.0,1.0,1.1,1.08,0.93,0
132,其他調味品(調味醬、醋、高湯罐頭等),食物類,hot,21.31,21.31,0.0,0.0,1.0,0.91,0.67,0.973,0
133,米酒,食物類,normal,2.65,2.65,0.0,0.0,1.0,0.37,0.89,0.941,0
134,啤酒,食物類,normal,7.47,9.51,1.86,0.215,0.85,1.67,-1.15,0.801,0
135,高粱酒,食物類,normal,7.34,8.25,0.84,0.11,0.85,0.87,-0.63,0.919,0
136,其他酒,食物類,normal,7.44,8.77,1.22,0.152,0.85,0.68,-0.97,0.966,0
137,包裝茶飲料,食物類,normal,11.67,11.67,0.0,0.0,1.0,2.09,0.75,0.91,0
138,茶葉(粉、包、精),食物類,normal,10.86,11.38,0.47,0.046,0.942,1.62,0.04,0.91,0
139,碳酸飲料,食物類,normal,12.85,14.19,1.17,0.094,0.842,2.59,-0.82,0.786,0
140,包裝咖啡飲料,食物類,hot,18.58,18.58,0.0,0.0,1.0,2.04,4.12,0.964,0
141,咖啡包(粉、豆),食物類,hot,15.49,15.49,0.0,0.0,1.0,2.17,6.64,0.679,0
142,果蔬汁,食物類,normal,12.43,13.39,0.85,0.072,0.867,1.45,-0.49,0.919,0
143,運動及機能性飲料,食物類,normal,14.14,14.67,0.46,0.036,0.958,2.08,-0.4,0.717,0
144,礦泉水,食物類,falling,-3.81,1.77,5.48,1.5,0.05,2.16,1.6,0.846,4
145,其他包裝飲料(植物奶、雜糧飲料等),食物類,hot,19.49,19.49,0.0,0.0,1.0,1.12,2.02,0.916,0
146,其他沖泡飲料材料(麥芽飲品、可可、薏仁粉等),食物類,hot,16.05,16.05,0.0,0.0,1.0,1.57,3.23,0.833,0
147,米類調理食品,食物類,hot,27.32,27.32,0.0,0.0,1.0,0.94,2.34,0.952,0
148,麵類調理食品,食物類,hot,32.12,32.12,0.0,0.0,1.0,1.14,2.99,0.904,0
149,肉鬆,食物類,hot,23.23,23.23,0.0,0.0,1.0,1.0,3.38,0.927,0
150,肉乾,食物類,hot,30.08,30.08,0.0,0.0,1.0,1.19,3.2,0.931,0
151,熟食肉類,食物類,hot,33.53,33.53,0.0,0.0,1.0,0.94,3.46,0.944,0
152,其他調理食品(雞塊、調理包等),食物類,hot,27.79,27.79,0.0,0.0,1.0,1.77,2.1,0.829,0
153,中式早點,食物類,hot,39.63,39.63,0.0,0.0,1.0,1.34,4.44,0.917,2
154,西式早點,食物類,hot,33.14,33.14,0.0,0.0,1.0,1.24,2.68,0.902,0
155,西式速食,食物類,hot,25.05,25.05,0.0,0.0,1.0,0.85,1.12,0.972,0
156,中式米食,食物類,hot,30.85,30.85,0.0,0.0,1.0,0.89,3.48,0.932,0
157,中式麵食,食物類,hot,32.78,32.78,0.0,0.0,1.0,0.95,3.67,0.923,0
158,火鍋,食物類,hot,36.72,36.72,0.0,0.0,1.0,1.02,2.68,0.957,0
159,中式餐廳料理,食物類,hot,23.23,23.23,0.0,0.0,1.0,0.53,3.08,0.952,0
160,中式以外料理,食物類,hot,27.81,27.81,0.0,0.0,1.0,0.94,2.57,0.926,0
161,在外點用之咖啡、飲料,食物類,hot,21.3,21.3,0.0,0.0,1.0,0.68,2.72,0.969,0
162,其他家外食物(鹽酥雞、蚵仔麵線、臭豆腐等),食物類,hot,34.03,34.03,0.0,0.0,1.0,0.86,4.17,0.945,0
163,幼兒園點心費,食物類,normal,7.49,7.49,0.0,0.0,1.0,0.3,0.73,0.981,0
164,學生營養午餐,食物類,hot,21.87,21.87,0.0,0.0,1.0,0.95,2.86,0.834,0
165,冰品,食物類,hot,21.62,21.62,0.0,0.0,1.0,1.81,0.4,0.91,0
166,甜品,食物類,normal,10.68,10.85,0.15,0.016,0.958,1.17,0.07,0.951,0
167,巧克力,食物類,hot,27.78,27.78,0.0,0.0,1.0,2.4,6.29,0.931,0
168,糖果,食物類,hot,24.99,24.99,0.0,0.0,1.0,1.78,3.06,0.966,0
169,餅乾,食物類,hot,17.84,17.84,0.0,0.0,1.0,1.44,1.16,0.81,0
170,糕餅點心,食物類,hot,27.64,27.64,0.0,0.0,1.0,1.23,2.33,0.942,0
171,其他休閒食品(洋芋片、口香糖、瓜子等),食物類,hot,20.49,20.49,0.0,0.0,1.0,1.21,3.8,0.939,0
172,男西裝,衣著類,normal,9.54,9.66,0.11,0.012,0.975,2.92,1.4,0.93,0
173,男外套,衣著類,normal,7.27,9.02,1.61,0.194,0.625,5.04,0.08,0.682,0
174,男上衣,衣著類,falling,-0.22,0.85,1.06,1.26,0.725,3.25,0.2,0.381,4
175,男褲,衣著類,normal,4.79,5.42,0.6,0.117,0.925,2.54,-0.28,0.656,0
176,男用內衣褲,衣著類,normal,8.7,8.72,0.02,0.002,0.992,1.13,1.41,0.716,0
177,其他男衣著(襪子、泳褲、睡衣等),衣著類,normal,1.34,1.88,0.54,0.29,0.05,1.5,-0.2,0.115,3
178,女洋裝,衣著類,falling,-6.62,4.1,10.3,1.5,0.633,9.47,-1.03,0.118,4
179,女外套,衣著類,seasonal,7.14,10.15,2.74,0.297,0.658,11.83,1.41,0.374,1
180,女上衣,衣著類,normal,9.09,9.09,0.0,0.0,1.0,6.15,1.38,0.636,0
181,女褲(裙),衣著類,normal,6.94,8.69,1.6,0.201,0.767,5.86,1.53,0.615,0
182,女用內衣褲,衣著類,normal,1.91,5.65,3.54,0.663,0.808,1.94,-2.04,0.157,4
183,其他女衣著(睡衣、孕婦裝、泳衣、襪子等),衣著類,normal,8.75,8.97,0.2,0.025,0.975,2.2,1.95,0.802,0
184,嬰兒衣著,衣著類,normal,1.99,9.63,6.97,0.794,0.808,3.87,-4.44,0.386,4
185,童上衣,衣著類,normal,12.09,12.98,0.79,0.068,0.925,7.6,-0.27,0.866,0
186,童褲(裙),衣著類,normal,0.79,1.3,0.5,0.389,0.225,6.39,1.74,0.002,3
187,兒童內衣褲及其他(襪子、泳衣(褲)等),衣著類,normal,1.63,2.62,0.96,0.376,0.883,1.59,-0.83,0.464,0
188,學生制服,衣著類,hot,29.16,29.16,0.0,0.0,1.0,0.84,4.18,0.944,0
189,男鞋,衣著類,normal,4.8,5.91,1.04,0.187,0.892,1.36,-0.91,0.704,0
190,女鞋,衣著類,normal,8.56,9.63,0.97,0.111,0.683,1.83,1.0,0.659,0
